,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,ice_cream,source,start_date,wikipedia,geometry,osm_type,addr:housename,building,building:levels,gambling,internet_access
300,,,179458886,1445171986,,,5,,,,,,,,Sala polivalente,,,,,,events_venue,,,,,,,"POLYGON ((7.1160526 44.8088577, 7.1161825 44.8087183, 7.1161739 44.8087139, 7.1160602 44.8086601, 7.1159298 44.8088003, 7.1160526 44.8088577))",way,,yes,,,
301,,,182193826,1614459840,,,2,,,,,,,,Oratorio San Giuseppe,,,,,,community_centre,,,,,,,"POLYGON ((7.8786788 45.4689837, 7.8787244 45.4689646, 7.8788387 45.4687191, 7.8785815 45.4686602, 7.8785683 45.4686885, 7.8786174 45.4686997, 7.8785228 45.4689028, 7.8785387 45.4689064, 7.8785344 45.4689506, 7.8786788 45.4689837))",way,,yes,,,
302,,,183357245,1348863595,,,1,,,,,,,,Teatro Parrocchiale Sant'Anna,,,,,,theatre,,,,,,,"POLYGON ((7.5997754 45.0042542, 7.5996065 45.004091, 7.5998019 45.0039892, 7.5999115 45.0041132, 7.5998797 45.0041985, 7.5997754 45.0042542))",way,,,,,
303,,,185634076,1383339837,,"{""wheelchair"":""yes""}",2,,,,,,,,Teatro Superga,,,,,,theatre,,,,,,,"POLYGON ((7.6585775 44.9978256, 7.6586459 44.997826, 7.6586471 44.9978468, 7.6587776 44.9978416, 7.658774 44.9978209, 7.6588521 44.9978114, 7.6588313 44.9976776, 7.6588631 44.9976664, 7.6588362 44.9975879, 7.6588655 44.9975801, 7.658785 44.9974015, 7.6585812 44.997411, 7.658536 44.9975896, 7.6585726 44.9976008, 7.6585458 44.9976794, 7.6585836 44.9976845, 7.6585775 44.9978256))",way,,yes,,,
304,,,186575121,1386758201,,,2,,,,,,,,,,,,,,community_centre,,,,,,,"POLYGON ((7.868802 45.4652899, 7.8688467 45.4653195, 7.8687686 45.4653776, 7.8687239 45.4653479, 7.868802 45.4652899))",way,,yes,,,
305,,,188609028,1351779072,,,1,,,,,,,,Centro Fiere Adriano Olivetti,,,,,,community_centre,,,,,,,"POLYGON ((7.8824428 45.4591414, 7.8838896 45.4595412, 7.8840894 45.4591828, 7.8826448 45.4587826, 7.8824428 45.4591414))",way,,civic,,,
306,,,190471280,1557693889,,"{""toilets:wheelchair"":""yes"",""wheelchair"":""yes""}",7,,,,,,,,Casa del Teatro Ragazzi e Giovani,,,+39 011 19740280,,,theatre,,,,,,,"POLYGON ((7.6535004 45.0411645, 7.6537741 45.041553, 7.6535784 45.0416218, 7.653627 45.0416907, 7.6534874 45.0417398, 7.6531652 45.0412824, 7.6535004 45.0411645))",way,,yes,,,
307,,,191213696,1553411425,,"{""screen"":""4"",""wheelchair"":""limited"",""wikidata"":""Q18530120""}",6,,,,,,,,Multisala Reposi,,,,,https://www.multisalareposi.it/,cinema,,,,,,,"POLYGON ((7.6793407 45.0655003, 7.679264 45.065528, 7.6792456 45.0655026, 7.6791403 45.0655406, 7.6789049 45.0656256, 7.6786067 45.0657332, 7.6785466 45.0656502, 7.6784594 45.0655296, 7.67843 45.065489, 7.6788571 45.0653348, 7.6788805 45.0653673, 7.6790446 45.065308, 7.6791691 45.0652631, 7.6793407 45.0655003))",way,,cinema,,,
308,,,192089073,1506101375,,"{""wheelchair"":""yes"",""wikidata"":""Q18530117""}",4,,,,,,,,Cinema Massimo,,,,,,cinema,,,,,,,"POLYGON ((7.6923805 45.0683042, 7.6921437 45.0679749, 7.6923724 45.0678884, 7.6926145 45.0682203, 7.6923805 45.0683042))",way,,cinema,,,
309,,,192999986,1586434985,,"{""wheelchair"":""yes"",""wikidata"":""Q3629508""}",8,,,,,,,,Auditorium RAI,,RAI,,,,theatre,,,,,,it:Auditorium Rai di Torino,"POLYGON ((7.6908034 45.0702755, 7.6908669 45.0703634, 7.6908732 45.0703602, 7.6910146 45.0704464, 7.6911443 45.0705204, 7.6911716 45.0705091, 7.6912579 45.0704774, 7.6912783 45.0704705, 7.6913052 45.0704828, 7.6913081 45.0704872, 7.6913204 45.070483, 7.6912868 45.0704379, 7.6913125 45.0704293, 7.6913256 45.0704478, 7.6913757 45.070431, 7.6913922 45.0704535, 7.6915555 45.0703938, 7.6915192 45.0703435, 7.6916495 45.0702979, 7.6915308 45.0701289, 7.6913513 45.0698506, 7.6911814 45.0699778, 7.6911903 45.0699992, 7.6911548 45.0700114, 7.691127 45.0700211, 7.691068 45.0700684, 7.691108 45.070128, 7.6911111 45.0701326, 7.6910735 45.07017, 7.6910545 45.0701887, 7.6909781 45.0702165, 7.6908137 45.0702699, 7.6908034 45.0702755))",way,,theatre,,,
